provinsi,sekolah,siswa,mengulang,putus_sekolah,kepala_sekolah_&_guru,tenaga_kependidikan,rombel,ruang_kelas,status,tahun,jenjang
Sulawesi Utara,121,48938,0,103,3644,538,1779,1837,Negeri,2022,SMA
Sulawesi Tengah,176,72724,0,245,4973,851,2399,2409,Negeri,2022,SMA
Sulawesi Selatan,335,193752,0,706,12690,2082,6088,6634,Negeri,2022,SMA
Sulawesi Tenggara,249,88905,0,178,7028,580,3111,3460,Negeri,2022,SMA
Maluku,211,57923,0,215,5175,719,2121,2307,Negeri,2022,SMA
Bali,88,79732,0,17,4470,1656,2280,2121,Negeri,2022,SMA
Nusa Tenggara Barat,150,90179,0,317,7127,1528,2894,2832,Negeri,2022,SMA
Nusa Tenggara Timur,386,143294,0,429,11316,1295,5028,4913,Negeri,2022,SMA
Papua,144,50184,0,236,3238,354,1589,1588,Negeri,2022,SMA
Bengkulu,109,49781,0,115,3776,959,1644,1719,Negeri,2022,SMA
Maluku Utara,139,34566,0,79,2708,348,1264,1341,Negeri,2022,SMA
Banten,161,139369,0,93,6645,1639,3817,3739,Negeri,2022,SMA
Kepulauan Bangka Belitung,47,26033,0,18,1418,398,808,796,Negeri,2022,SMA
Gorontalo,61,29992,0,157,1898,357,980,1010,Negeri,2022,SMA
Kepulauan Riau,93,46609,0,59,2740,676,1383,1400,Negeri,2022,SMA
Papua Barat,82,23003,0,49,1562,135,835,866,Negeri,2022,SMA
Sulawesi Barat,77,27994,0,78,2212,610,950,1044,Negeri,2022,SMA
Kalimantan Utara,44,15292,0,14,1108,229,528,530,Negeri,2022,SMA
Luar Negeri,11,827,0,16,80,3,62,62,Negeri,2022,SMA
DKI Jakarta,375,99062,0,106,6285,1300,3573,4162,Swasta,2022,SMA
Jawa Barat,1197,284248,0,529,15572,2720,9944,10990,Swasta,2022,SMA
Jawa Tengah,493,103302,0,89,7247,1631,3892,4799,Swasta,2022,SMA
DI Yogyakarta,104,17232,0,4,1659,404,776,957,Swasta,2022,SMA
Jawa Timur,1095,194163,0,654,13635,2169,7493,8977,Swasta,2022,SMA
Aceh,141,18461,0,62,1553,299,800,890,Swasta,2022,SMA
Sumatera Utara,647,139560,0,590,7647,895,4811,5643,Swasta,2022,SMA
Sumatera Barat,101,14054,0,63,1339,205,607,786,Swasta,2022,SMA
Riau,152,23073,0,19,1917,242,920,1184,Swasta,2022,SMA
Jambi,77,9293,0,18,720,116,393,492,Swasta,2022,SMA
Sumatera Selatan,283,47065,0,148,3145,661,1746,2206,Swasta,2022,SMA
Lampung,280,41107,0,90,2977,472,1656,1920,Swasta,2022,SMA
Kalimantan Barat,186,29550,0,63,1879,225,1111,1360,Swasta,2022,SMA
Kalimantan Tengah,61,6201,0,10,604,62,327,361,Swasta,2022,SMA
Kalimantan Selatan,63,6852,0,17,703,131,311,426,Swasta,2022,SMA
Kalimantan Timur,90,13234,0,16,969,198,531,641,Swasta,2022,SMA
Sulawesi Utara,109,13798,0,51,996,98,684,847,Swasta,2022,SMA
Sulawesi Tengah,56,6543,0,25,568,91,308,359,Swasta,2022,SMA
Sulawesi Selatan,264,35623,0,218,2750,362,1496,1861,Swasta,2022,SMA
Sulawesi Tenggara,64,5297,0,33,523,56,277,333,Swasta,2022,SMA
Maluku,73,11619,0,47,1236,118,518,586,Swasta,2022,SMA
Bali,75,14293,0,4,1094,253,533,841,Swasta,2022,SMA
Nusa Tenggara Barat,193,20036,0,602,1948,192,845,974,Swasta,2022,SMA
Nusa Tenggara Timur,212,60944,0,167,4514,575,2247,2515,Swasta,2022,SMA
Papua,112,21133,0,166,1505,187,813,935,Swasta,2022,SMA
Bengkulu,37,2832,0,4,283,58,157,190,Swasta,2022,SMA
Maluku Utara,78,8539,0,24,716,59,386,390,Swasta,2022,SMA
Banten,442,78017,0,249,5306,945,2975,3582,Swasta,2022,SMA
Kepulauan Bangka Belitung,24,3963,0,5,276,76,152,222,Swasta,2022,SMA
Gorontalo,9,1270,0,11,119,23,52,62,Swasta,2022,SMA
Kepulauan Riau,70,7825,0,2,657,103,380,437,Swasta,2022,SMA
Papua Barat,49,6917,0,23,688,77,329,372,Swasta,2022,SMA
Sulawesi Barat,14,1154,0,4,91,16,56,70,Swasta,2022,SMA
Kalimantan Utara,23,2923,0,2,243,51,127,162,Swasta,2022,SMA
Luar Negeri,1,89,0,0,14,2,6,6,Swasta,2022,SMA
DKI Jakarta,117,88181,88,9,5069,1029,2492,2567,Negeri,2023,SMA
Jawa Barat,514,530509,97,109,25291,6578,15205,14112,Negeri,2023,SMA
Jawa Tengah,362,343035,24,44,18034,4198,9723,9788,Negeri,2023,SMA
DI Yogyakarta,69,43387,2,13,2575,908,1243,1329,Negeri,2023,SMA
Jawa Timur,423,351429,222,219,19559,5271,10343,10724,Negeri,2023,SMA
Aceh,394,118487,682,310,12075,2619,4224,5561,Negeri,2023,SMA
Sumatera Utara,432,248734,176,801,15834,2055,7509,7719,Negeri,2023,SMA
Sumatera Barat,236,138979,594,128,9566,1750,4326,4703,Negeri,2023,SMA
Riau,313,148011,155,164,9982,1873,4681,4979,Negeri,2023,SMA
Jambi,163,71000,184,110,5178,1191,2300,2575,Negeri,2023,SMA
Sumatera Selatan,330,171193,239,238,11851,2345,5210,5287,Negeri,2023,SMA
Lampung,239,128161,32,79,8132,1747,3943,4112,Negeri,2023,SMA
Kalimantan Barat,285,102734,225,140,6310,762,3288,3378,Negeri,2023,SMA
Kalimantan Tengah,181,56103,186,91,4308,427,1939,2108,Negeri,2023,SMA
Kalimantan Selatan,142,60883,152,66,4155,933,1973,2147,Negeri,2023,SMA
Kalimantan Timur,145,68792,122,55,4149,947,2106,2157,Negeri,2023,SMA
Sulawesi Utara,121,50115,213,60,3639,513,1689,1921,Negeri,2023,SMA
Sulawesi Tengah,176,73086,139,169,4902,803,2411,2514,Negeri,2023,SMA
Sulawesi Selatan,337,193254,267,525,13059,1939,6036,6835,Negeri,2023,SMA
Sulawesi Tenggara,251,89328,303,249,7718,804,3075,3526,Negeri,2023,SMA
Maluku,215,57822,61,237,5293,755,2061,2386,Negeri,2023,SMA
Bali,90,81893,4,18,4670,1715,2290,2198,Negeri,2023,SMA
Nusa Tenggara Barat,150,96571,146,247,7406,1670,3006,2879,Negeri,2023,SMA
Nusa Tenggara Timur,393,145341,168,364,12242,1421,4997,5171,Negeri,2023,SMA
Papua,57,22167,215,68,1413,203,686,728,Negeri,2023,SMA
Bengkulu,109,51685,115,89,3827,988,1657,1752,Negeri,2023,SMA
Maluku Utara,139,35868,62,127,3062,351,1261,1375,Negeri,2023,SMA
Banten,161,144431,65,88,6478,1565,3873,3842,Negeri,2023,SMA
Kepulauan Bangka Belitung,47,27129,6,16,1450,382,830,839,Negeri,2023,SMA
Gorontalo,62,30376,126,165,1891,339,970,1046,Negeri,2023,SMA
Kepulauan Riau,93,49014,43,23,2911,703,1418,1492,Negeri,2023,SMA
Papua Barat,43,13327,142,21,914,97,454,486,Negeri,2023,SMA
Sulawesi Barat,77,28370,125,19,2301,604,942,1083,Negeri,2023,SMA
Kalimantan Utara,46,16080,23,30,1159,246,541,570,Negeri,2023,SMA
Luar Negeri,11,959,0,0,88,3,60,64,Negeri,2023,SMA
Papua Tengah,28,10862,40,19,657,52,344,337,Negeri,2023,SMA
Papua Selatan,22,9966,498,55,689,63,324,324,Negeri,2023,SMA
Papua Pegunungan,44,9944,31,137,564,10,313,297,Negeri,2023,SMA
Papua Barat Daya,43,10660,16,27,931,70,408,448,Negeri,2023,SMA
DKI Jakarta,379,103924,33,23,6511,1285,3597,4312,Swasta,2023,SMA
Jawa Barat,1254,293262,229,383,16302,2780,10123,11546,Swasta,2023,SMA
Jawa Tengah,499,109919,120,115,7265,1618,3897,4930,Swasta,2023,SMA
DI Yogyakarta,104,17744,77,2,1601,422,756,971,Swasta,2023,SMA
Jawa Timur,1094,197252,644,712,13823,2188,7358,9196,Swasta,2023,SMA
Aceh,145,19170,20,43,1462,278,805,940,Swasta,2023,SMA
Sumatera Utara,635,141165,187,920,7554,920,4768,5769,Swasta,2023,SMA
Sumatera Barat,102,14556,54,76,1244,203,599,819,Swasta,2023,SMA
Riau,154,24284,54,26,1956,248,935,1231,Swasta,2023,SMA
Jambi,84,10429,19,18,729,105,423,535,Swasta,2023,SMA
Sumatera Selatan,283,48921,177,285,3036,660,1766,2240,Swasta,2023,SMA
Lampung,288,44657,49,92,3063,468,1708,1996,Swasta,2023,SMA
Kalimantan Barat,187,29833,70,111,1849,225,1116,1386,Swasta,2023,SMA
Kalimantan Tengah,64,6568,20,7,629,65,327,370,Swasta,2023,SMA
Kalimantan Selatan,65,7281,20,5,684,135,305,442,Swasta,2023,SMA
Kalimantan Timur,92,13541,17,7,1024,213,525,680,Swasta,2023,SMA
Sulawesi Utara,108,13452,116,54,937,92,637,844,Swasta,2023,SMA
Sulawesi Tengah,58,6780,72,46,551,85,311,387,Swasta,2023,SMA
Sulawesi Selatan,270,36763,184,222,2571,356,1488,1905,Swasta,2023,SMA
Sulawesi Tenggara,64,5209,30,54,514,57,276,337,Swasta,2023,SMA
Maluku,73,11768,42,44,1169,120,502,597,Swasta,2023,SMA
Bali,73,13792,0,26,1027,254,499,836,Swasta,2023,SMA
Nusa Tenggara Barat,215,20349,83,280,2002,184,879,1016,Swasta,2023,SMA
Nusa Tenggara Timur,218,61698,240,300,4458,558,2196,2616,Swasta,2023,SMA
Papua,56,11102,225,34,792,107,416,452,Swasta,2023,SMA
Bengkulu,42,3009,3,9,312,63,166,208,Swasta,2023,SMA
Maluku Utara,85,8941,9,157,670,56,388,417,Swasta,2023,SMA
Banten,446,80877,120,129,5697,1085,3006,3707,Swasta,2023,SMA
Kepulauan Bangka Belitung,27,4325,2,7,309,78,157,232,Swasta,2023,SMA
Gorontalo,9,1270,15,9,115,24,51,62,Swasta,2023,SMA
Kepulauan Riau,75,8261,3,3,719,106,395,488,Swasta,2023,SMA
Papua Barat,21,3554,143,5,310,44,145,181,Swasta,2023,SMA
Sulawesi Barat,15,1295,10,7,81,15,64,74,Swasta,2023,SMA
Kalimantan Utara,22,2806,38,11,230,52,120,157,Swasta,2023,SMA
Luar Negeri,1,98,0,1,14,2,5,6,Swasta,2023,SMA
Papua Tengah,28,5352,9,42,337,47,196,228,Swasta,2023,SMA
Papua Selatan,15,2918,123,22,199,38,111,132,Swasta,2023,SMA
Papua Pegunungan,18,3899,21,23,223,6,138,143,Swasta,2023,SMA
Papua Barat Daya,29,3600,34,18,361,42,176,201,Swasta,2023,SMA
DKI Jakarta,117,88259,97,2,4944,956,2497,2584,Negeri,2024,SMA
Jawa Barat,514,541246,66,60,26448,6307,15494,14244,Negeri,2024,SMA
Jawa Tengah,362,347588,21,61,18072,4097,9852,9954,Negeri,2024,SMA
DI Yogyakarta,69,44057,4,0,2504,851,1245,1337,Negeri,2024,SMA
Jawa Timur,421,358942,172,173,20964,5066,10390,10946,Negeri,2024,SMA
Aceh,395,122127,584,124,12456,2720,4151,5709,Negeri,2024,SMA
Sumatera Utara,438,252462,108,378,16130,2155,7546,7927,Negeri,2024,SMA
Sumatera Barat,238,142600,529,161,9427,1725,4314,4819,Negeri,2024,SMA
Riau,321,154469,168,90,10285,1966,4733,5140,Negeri,2024,SMA
Jambi,163,73129,118,77,5046,1205,2296,2655,Negeri,2024,SMA
Sumatera Selatan,330,173505,248,97,11827,2349,5225,5423,Negeri,2024,SMA
Lampung,240,133517,42,30,9105,1759,4048,4191,Negeri,2024,SMA
Kalimantan Barat,292,104524,195,133,6846,827,3321,3483,Negeri,2024,SMA
Kalimantan Tengah,182,57290,167,83,4411,430,1913,2233,Negeri,2024,SMA
Kalimantan Selatan,143,62605,93,20,4167,1094,1967,2230,Negeri,2024,SMA
Kalimantan Timur,146,71034,106,32,4295,957,2129,2243,Negeri,2024,SMA
Sulawesi Utara,121,49737,237,15,3559,492,1575,1989,Negeri,2024,SMA
Sulawesi Tengah,177,72634,97,137,5152,911,2368,2536,Negeri,2024,SMA
Sulawesi Selatan,337,193112,298,195,12972,1894,5936,7169,Negeri,2024,SMA
Sulawesi Tenggara,254,88188,296,137,8571,1218,2962,3594,Negeri,2024,SMA
Maluku,216,57642,33,143,5346,776,2009,2460,Negeri,2024,SMA
Bali,90,78094,1,9,4798,1704,2193,2333,Negeri,2024,SMA
Nusa Tenggara Barat,150,101205,136,230,7898,1648,3091,3255,Negeri,2024,SMA
Nusa Tenggara Timur,397,142570,164,350,12453,1445,4782,5398,Negeri,2024,SMA
Papua,62,23108,158,14,1570,229,705,764,Negeri,2024,SMA
Bengkulu,110,53559,59,48,3964,1047,1678,1827,Negeri,2024,SMA
Maluku Utara,139,36392,38,117,3309,468,1226,1482,Negeri,2024,SMA
Banten,161,147612,49,94,6442,1484,3916,3968,Negeri,2024,SMA
Kepulauan Bangka Belitung,47,28276,96,12,1489,367,840,882,Negeri,2024,SMA
Gorontalo,62,30073,87,138,1855,330,928,1092,Negeri,2024,SMA
Kepulauan Riau,96,50817,88,17,3024,762,1462,1533,Negeri,2024,SMA
Papua Barat,45,13742,127,40,1019,95,458,528,Negeri,2024,SMA
Sulawesi Barat,77,28967,105,69,2318,599,940,1128,Negeri,2024,SMA
Kalimantan Utara,49,17242,13,17,1189,257,553,588,Negeri,2024,SMA
Luar Negeri,11,1020,1,0,90,3,54,66,Negeri,2024,SMA
Papua Tengah,31,12244,32,34,693,49,378,358,Negeri,2024,SMA
Papua Selatan,24,10463,508,23,700,71,337,340,Negeri,2024,SMA
Papua Pegunungan,47,10860,5,101,612,15,352,324,Negeri,2024,SMA
Papua Barat Daya,50,11106,22,89,1061,76,425,492,Negeri,2024,SMA
DKI Jakarta,387,101884,24,11,6709,1328,3476,4423,Swasta,2024,SMA
Jawa Barat,1306,301514,166,226,16447,2962,10243,12088,Swasta,2024,SMA
Jawa Tengah,506,115960,89,165,7210,1634,3923,5134,Swasta,2024,SMA
DI Yogyakarta,106,18682,40,0,1458,416,741,991,Swasta,2024,SMA
Jawa Timur,1095,200372,751,564,12621,2142,7186,9349,Swasta,2024,SMA
Aceh,148,19563,26,69,1334,279,786,976,Swasta,2024,SMA
Sumatera Utara,637,141731,175,602,7530,949,4733,5865,Swasta,2024,SMA
Sumatera Barat,107,14673,10,47,1136,206,591,848,Swasta,2024,SMA
Riau,160,25232,49,35,1926,249,944,1281,Swasta,2024,SMA
Jambi,89,10765,25,4,717,111,429,546,Swasta,2024,SMA
Sumatera Selatan,290,51402,175,184,3089,670,1824,2323,Swasta,2024,SMA
Lampung,298,48197,19,88,2915,507,1776,2115,Swasta,2024,SMA
Kalimantan Barat,191,30123,104,78,1704,213,1103,1405,Swasta,2024,SMA
Kalimantan Tengah,66,6656,24,15,635,65,316,388,Swasta,2024,SMA
Kalimantan Selatan,67,7426,17,14,688,155,308,466,Swasta,2024,SMA
Kalimantan Timur,95,13566,17,25,1069,230,516,693,Swasta,2024,SMA
Sulawesi Utara,108,12926,98,9,814,84,574,838,Swasta,2024,SMA
Sulawesi Tengah,61,6949,64,22,526,123,305,397,Swasta,2024,SMA
Sulawesi Selatan,274,35470,123,214,2498,365,1425,1935,Swasta,2024,SMA
Sulawesi Tenggara,64,4771,31,17,464,59,263,353,Swasta,2024,SMA
Maluku,76,11137,25,43,1041,120,463,611,Swasta,2024,SMA
Bali,71,14111,0,2,953,239,490,802,Swasta,2024,SMA
Nusa Tenggara Barat,228,20460,100,155,1923,192,904,1067,Swasta,2024,SMA
Nusa Tenggara Timur,221,58230,185,198,4040,558,2040,2730,Swasta,2024,SMA
Papua,56,10946,242,19,712,131,395,448,Swasta,2024,SMA
Bengkulu,43,2936,7,4,293,58,166,218,Swasta,2024,SMA
Maluku Utara,86,9191,63,24,518,60,383,432,Swasta,2024,SMA
Banten,449,81320,81,83,5722,1223,2957,3789,Swasta,2024,SMA
Kepulauan Bangka Belitung,30,4992,5,0,342,79,175,247,Swasta,2024,SMA
Gorontalo,9,1211,11,9,101,22,50,64,Swasta,2024,SMA
Kepulauan Riau,82,8945,15,6,748,111,399,531,Swasta,2024,SMA
Papua Barat,21,3499,129,11,295,44,137,181,Swasta,2024,SMA
Sulawesi Barat,16,1387,0,21,79,21,62,84,Swasta,2024,SMA
Kalimantan Utara,22,2631,13,22,241,57,108,157,Swasta,2024,SMA
Luar Negeri,1,107,0,0,16,2,4,6,Swasta,2024,SMA
Papua Tengah,29,5380,80,117,337,48,194,231,Swasta,2024,SMA
Papua Selatan,16,3358,242,0,187,36,124,136,Swasta,2024,SMA
Papua Pegunungan,21,4033,67,57,216,8,142,155,Swasta,2024,SMA
Papua Barat Daya,31,3541,22,6,323,33,165,216,Swasta,2024,SMA
DKI Jakarta,73,59956,0,208,3086,710,1657,1698,Negeri,2021,SMK
Jawa Barat,288,342636,0,154,15715,4746,9776,9499,Negeri,2021,SMK
Jawa Tengah,237,313603,0,89,15533,3644,8402,7314,Negeri,2021,SMK
DI Yogyakarta,50,56795,0,34,3303,864,1537,1466,Negeri,2021,SMK
Jawa Timur,297,368701,0,394,18682,4723,10583,9139,Negeri,2021,SMK
Aceh,152,49422,0,251,5633,1330,2193,2526,Negeri,2021,SMK
Sumatera Utara,269,144571,0,381,9821,1100,4707,5034,Negeri,2021,SMK
Sumatera Barat,114,83668,0,214,6119,1046,2727,2510,Negeri,2021,SMK
Riau,128,70631,0,118,4983,863,2335,2565,Negeri,2021,SMK
Jambi,104,42467,0,99,3385,746,1610,1775,Negeri,2021,SMK
Sumatera Selatan,118,77946,0,142,4958,1079,2419,2115,Negeri,2021,SMK
Lampung,111,73851,0,46,4753,1069,2339,2330,Negeri,2021,SMK
Kalimantan Barat,107,62165,0,171,2831,355,1891,1742,Negeri,2021,SMK
Kalimantan Tengah,93,30495,0,99,2375,266,1172,1225,Negeri,2021,SMK
Kalimantan Selatan,63,47437,0,120,2834,674,1461,1371,Negeri,2021,SMK
Kalimantan Timur,87,57403,0,24,3218,705,1707,1834,Negeri,2021,SMK
Sulawesi Utara,91,38050,0,149,2893,371,1596,1645,Negeri,2021,SMK
Sulawesi Tengah,106,35101,0,131,2745,436,1380,1756,Negeri,2021,SMK
Sulawesi Selatan,169,98586,0,230,7056,1105,3441,3817,Negeri,2021,SMK
Sulawesi Tenggara,102,32677,0,61,2616,228,1378,1585,Negeri,2021,SMK
Maluku,82,16965,0,46,1998,273,820,951,Negeri,2021,SMK
Bali,53,55479,0,12,3246,1024,1594,1321,Negeri,2021,SMK
Nusa Tenggara Barat,99,63075,0,172,4740,1019,2190,2115,Negeri,2021,SMK
Nusa Tenggara Timur,158,63022,0,199,5128,598,2278,2512,Negeri,2021,SMK
Papua,79,23665,0,125,1864,252,954,1076,Negeri,2021,SMK
Bengkulu,64,30559,0,47,2392,485,1100,1289,Negeri,2021,SMK
Maluku Utara,63,10574,0,32,1092,146,548,727,Negeri,2021,SMK
Banten,81,90570,0,73,4103,1079,2477,2278,Negeri,2021,SMK
Kepulauan Bangka Belitung,36,21046,0,49,1298,376,658,792,Negeri,2021,SMK
Gorontalo,40,17037,0,129,1450,233,722,839,Negeri,2021,SMK
Kepulauan Riau,36,26467,0,41,1477,409,799,747,Negeri,2021,SMK
Papua Barat,33,12239,0,46,834,75,498,513,Negeri,2021,SMK
Sulawesi Barat,59,21654,0,61,1697,580,822,937,Negeri,2021,SMK
Kalimantan Utara,21,10286,0,31,702,146,331,395,Negeri,2021,SMK
Luar Negeri,1,171,0,0,4,1,9,9,Negeri,2021,SMK
DKI Jakarta,503,147523,0,251,8328,1817,5203,6907,Swasta,2021,SMK
Jawa Barat,2619,804274,0,1509,39761,7529,27959,32278,Swasta,2021,SMK
Jawa Tengah,1314,524814,0,830,29409,6166,18272,20553,Swasta,2021,SMK
DI Yogyakarta,164,40158,0,34,3383,886,1709,2060,Swasta,2021,SMK
Jawa Timur,1834,447665,0,1371,27455,4354,16933,18653,Swasta,2021,SMK
Aceh,68,7572,0,61,762,160,389,481,Swasta,2021,SMK
Sumatera Utara,705,183120,0,1236,9920,1170,6758,8471,Swasta,2021,SMK
Sumatera Barat,98,15298,0,67,1503,244,766,1003,Swasta,2021,SMK
Riau,173,39575,0,199,3100,441,1728,2082,Swasta,2021,SMK
Jambi,73,11233,0,53,918,177,520,629,Swasta,2021,SMK
Sumatera Selatan,187,51701,0,218,2994,563,1885,2173,Swasta,2021,SMK
Lampung,377,85975,0,84,5758,888,3413,3699,Swasta,2021,SMK
Kalimantan Barat,114,22181,0,87,1356,171,873,1080,Swasta,2021,SMK
Kalimantan Tengah,44,6322,0,20,581,61,289,362,Swasta,2021,SMK
Kalimantan Selatan,64,14078,0,20,1093,257,593,702,Swasta,2021,SMK
Kalimantan Timur,131,29088,0,32,1775,427,1261,1602,Swasta,2021,SMK
Sulawesi Utara,96,15174,0,39,1229,126,850,1041,Swasta,2021,SMK
Sulawesi Tengah,78,11400,0,46,963,158,564,723,Swasta,2021,SMK
Sulawesi Selatan,247,36514,0,273,2985,481,1946,2421,Swasta,2021,SMK
Sulawesi Tenggara,63,6355,0,26,662,49,341,508,Swasta,2021,SMK
Maluku,33,6248,0,13,543,57,280,345,Swasta,2021,SMK
Bali,113,41299,0,18,2458,472,1438,1680,Swasta,2021,SMK
Nusa Tenggara Barat,223,23755,0,301,2381,231,1031,1238,Swasta,2021,SMK
Nusa Tenggara Timur,154,45522,0,445,2708,277,1681,1856,Swasta,2021,SMK
Papua,60,13424,0,123,929,160,537,621,Swasta,2021,SMK
Bengkulu,41,4262,0,14,487,99,243,303,Swasta,2021,SMK
Maluku Utara,83,8858,0,72,750,65,442,610,Swasta,2021,SMK
Banten,653,167865,0,304,8790,1891,6022,7327,Swasta,2021,SMK
Kepulauan Bangka Belitung,23,5781,0,33,364,106,211,261,Swasta,2021,SMK
Gorontalo,18,2751,0,22,301,57,132,144,Swasta,2021,SMK
Kepulauan Riau,75,11234,0,33,849,125,567,929,Swasta,2021,SMK
Papua Barat,24,4724,0,6,354,36,200,208,Swasta,2021,SMK
Sulawesi Barat,72,7277,0,40,636,138,379,468,Swasta,2021,SMK
Kalimantan Utara,11,1119,0,5,131,15,52,81,Swasta,2021,SMK
DKI Jakarta,73,56768,0,49,3228,711,1667,1647,Negeri,2022,SMK
Jawa Barat,288,330779,0,90,17257,4763,10142,8531,Negeri,2022,SMK
Jawa Tengah,237,292022,0,93,16682,3466,8462,6906,Negeri,2022,SMK
DI Yogyakarta,50,50598,0,6,3226,913,1543,1323,Negeri,2022,SMK
Jawa Timur,297,343774,0,234,19829,4592,10671,8599,Negeri,2022,SMK
Aceh,153,45444,0,148,5973,1385,2197,2278,Negeri,2022,SMK
Sumatera Utara,270,137972,0,432,10321,1142,4794,4615,Negeri,2022,SMK
Sumatera Barat,114,75205,0,157,6099,1071,2732,2412,Negeri,2022,SMK
Riau,128,66389,0,112,5076,889,2369,2088,Negeri,2022,SMK
Jambi,104,39326,0,38,3437,766,1583,1533,Negeri,2022,SMK
Sumatera Selatan,120,75576,0,133,5487,1161,2496,2004,Negeri,2022,SMK
Lampung,111,67956,0,34,4755,1040,2360,2185,Negeri,2022,SMK
Kalimantan Barat,110,56239,0,148,3053,396,1946,1564,Negeri,2022,SMK
Kalimantan Tengah,94,27875,0,92,2475,256,1164,1191,Negeri,2022,SMK
Kalimantan Selatan,63,42514,0,85,2984,735,1477,1323,Negeri,2022,SMK
Kalimantan Timur,87,52654,0,25,3321,726,1723,1504,Negeri,2022,SMK
Sulawesi Utara,92,34793,0,126,2948,382,1608,1566,Negeri,2022,SMK
Sulawesi Tengah,107,33097,0,51,2893,449,1403,1419,Negeri,2022,SMK
Sulawesi Selatan,168,90493,0,305,7168,1125,3420,3543,Negeri,2022,SMK
Sulawesi Tenggara,102,30018,0,63,2949,207,1390,1407,Negeri,2022,SMK
Maluku,82,16110,0,34,2084,304,825,857,Negeri,2022,SMK
Bali,54,52391,0,9,3384,1009,1652,1280,Negeri,2022,SMK
Nusa Tenggara Barat,99,55150,0,210,5202,1041,2184,1902,Negeri,2022,SMK
Nusa Tenggara Timur,165,60410,0,317,5352,605,2405,2164,Negeri,2022,SMK
Papua,80,22538,0,122,1975,245,961,1022,Negeri,2022,SMK
Bengkulu,64,26402,0,186,2501,519,1103,1053,Negeri,2022,SMK
Maluku Utara,63,9804,0,40,1121,148,547,572,Negeri,2022,SMK
Banten,91,88794,0,292,4338,1143,2556,2146,Negeri,2022,SMK
Kepulauan Bangka Belitung,36,19335,0,49,1323,352,648,696,Negeri,2022,SMK
Gorontalo,40,15543,0,120,1491,231,724,748,Negeri,2022,SMK
Kepulauan Riau,36,26053,0,3,1651,430,840,574,Negeri,2022,SMK
Papua Barat,33,11434,0,37,879,76,507,477,Negeri,2022,SMK
Sulawesi Barat,60,19023,0,69,1838,620,812,782,Negeri,2022,SMK
Kalimantan Utara,21,9409,0,13,720,154,345,349,Negeri,2022,SMK
Luar Negeri,1,186,0,0,5,1,9,9,Negeri,2022,SMK
DKI Jakarta,499,139206,0,143,8029,1759,5097,6442,Swasta,2022,SMK
Jawa Barat,2617,745666,0,1505,38361,7624,27346,30498,Swasta,2022,SMK
Jawa Tengah,1312,498113,0,559,27974,6178,18268,19089,Swasta,2022,SMK
DI Yogyakarta,162,36287,0,14,3287,849,1710,1916,Swasta,2022,SMK
Jawa Timur,1852,426456,0,1411,27011,4470,17067,17888,Swasta,2022,SMK
Aceh,67,7495,0,21,726,163,389,435,Swasta,2022,SMK
Sumatera Utara,703,170921,0,1851,9910,1127,6663,7880,Swasta,2022,SMK
Sumatera Barat,98,14094,0,95,1437,237,730,902,Swasta,2022,SMK
Riau,175,37646,0,141,3129,431,1717,1919,Swasta,2022,SMK
Jambi,75,10738,0,30,872,170,522,594,Swasta,2022,SMK
Sumatera Selatan,190,48075,0,141,2901,543,1863,2027,Swasta,2022,SMK
Lampung,381,81763,0,93,5536,919,3422,3683,Swasta,2022,SMK
Kalimantan Barat,118,19663,0,75,1299,187,863,985,Swasta,2022,SMK
Kalimantan Tengah,45,6047,0,13,574,57,293,328,Swasta,2022,SMK
Kalimantan Selatan,63,12805,0,36,1040,247,582,673,Swasta,2022,SMK
Kalimantan Timur,129,28082,0,30,1738,438,1250,1400,Swasta,2022,SMK
Sulawesi Utara,98,13265,0,32,1100,117,816,1012,Swasta,2022,SMK
Sulawesi Tengah,75,10204,0,148,886,154,547,601,Swasta,2022,SMK
Sulawesi Selatan,248,34374,0,223,2942,445,1895,2212,Swasta,2022,SMK
Sulawesi Tenggara,64,5983,0,158,666,47,361,416,Swasta,2022,SMK
Maluku,33,5461,0,15,556,50,295,272,Swasta,2022,SMK
Bali,117,35608,0,25,2341,461,1333,1571,Swasta,2022,SMK
Nusa Tenggara Barat,238,23881,0,451,2415,183,1091,1157,Swasta,2022,SMK
Nusa Tenggara Timur,157,43626,0,369,2930,275,1730,1675,Swasta,2022,SMK
Papua,61,12771,0,172,957,144,565,592,Swasta,2022,SMK
Bengkulu,40,3806,0,12,454,90,232,274,Swasta,2022,SMK
Maluku Utara,87,8967,0,67,752,57,463,462,Swasta,2022,SMK
Banten,648,160573,0,288,8753,2057,5979,6914,Swasta,2022,SMK
Kepulauan Bangka Belitung,23,5599,0,2,363,108,215,267,Swasta,2022,SMK
Gorontalo,18,2490,0,29,259,63,132,148,Swasta,2022,SMK
Kepulauan Riau,74,10039,0,5,796,122,556,760,Swasta,2022,SMK
Papua Barat,24,4682,0,38,397,44,206,189,Swasta,2022,SMK
Sulawesi Barat,71,7000,0,287,629,138,380,420,Swasta,2022,SMK
Kalimantan Utara,11,1040,0,3,118,18,48,67,Swasta,2022,SMK
DKI Jakarta,73,57652,22,7,3427,702,1677,1665,Negeri,2023,SMK
Jawa Barat,288,343384,122,70,17479,4930,10463,8808,Negeri,2023,SMK
