provinsi,sekolah,siswa,mengulang,putus_sekolah,kepala_sekolah_&_guru,tenaga_kependidikan,rombel,ruang_kelas,status,tahun,jenjang
Papua,487,67324,1149,394,4313,243,3580,3471,Negeri,2023,SD
Bengkulu,1289,172400,1287,347,13815,1235,9519,10538,Negeri,2023,SD
Maluku Utara,1111,118277,1018,567,10225,712,7189,7563,Negeri,2023,SD
Banten,3853,1009060,2389,1584,42576,3042,36073,31740,Negeri,2023,SD
Kepulauan Bangka Belitung,761,144910,1188,313,8035,1826,6133,6683,Negeri,2023,SD
Gorontalo,897,103429,1445,443,7408,821,5850,6491,Negeri,2023,SD
Kepulauan Riau,683,154046,602,281,9009,1672,6743,5942,Negeri,2023,SD
Papua Barat,406,48434,1228,301,3656,161,2874,2736,Negeri,2023,SD
Sulawesi Barat,1297,138490,1089,443,12513,2082,8782,8968,Negeri,2023,SD
Kalimantan Utara,437,69906,337,169,5162,598,3691,3547,Negeri,2023,SD
Luar Negeri,83,11918,47,81,349,10,625,544,Negeri,2023,SD
Papua Tengah,291,70019,1783,470,2615,78,2596,2282,Negeri,2023,SD
Papua Selatan,372,56014,2834,580,2431,82,2610,2327,Negeri,2023,SD
Papua Pegunungan,513,109443,3573,708,2609,53,3898,3273,Negeri,2023,SD
Papua Barat Daya,302,35284,925,222,3216,88,2208,2065,Negeri,2023,SD
DKI Jakarta,919,215517,287,174,14550,1825,9583,11071,Swasta,2023,SD
Jawa Barat,2449,595456,215,595,34654,3649,25355,27404,Swasta,2023,SD
Jawa Tengah,1320,314751,213,233,16067,1903,13595,14509,Swasta,2023,SD
DI Yogyakarta,424,83858,49,32,5171,801,3904,4142,Swasta,2023,SD
Jawa Timur,2078,400329,522,748,22882,2185,18793,19878,Swasta,2023,SD
Aceh,197,38102,30,59,2562,246,1737,1809,Swasta,2023,SD
Sumatera Utara,1584,346551,714,881,17405,1279,14470,15327,Swasta,2023,SD
Sumatera Barat,314,70543,109,77,4496,560,3155,3365,Swasta,2023,SD
Riau,585,142596,354,292,8425,691,6069,6422,Swasta,2023,SD
Jambi,160,35247,99,66,2077,197,1571,1653,Swasta,2023,SD
Sumatera Selatan,470,89181,158,138,5423,638,4166,4368,Swasta,2023,SD
Lampung,429,83350,84,123,5137,459,3897,4099,Swasta,2023,SD
Kalimantan Barat,307,63323,297,122,3260,303,2673,2823,Swasta,2023,SD
Kalimantan Tengah,236,44096,218,43,2414,189,1916,2029,Swasta,2023,SD
Kalimantan Selatan,182,34713,97,40,2286,209,1634,1720,Swasta,2023,SD
Kalimantan Timur,272,67878,110,82,3537,430,2867,3046,Swasta,2023,SD
Sulawesi Utara,862,83601,262,162,4963,146,5513,5794,Swasta,2023,SD
Sulawesi Tengah,269,27854,169,67,1943,206,1811,1846,Swasta,2023,SD
